number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.7785823706829227,2025-06-15 14:10:39.676029,2025-06-15 14:11:13.402118,0 days 00:00:33.726089,True,26,0.5,4,7,134,COMPLETE
1,0.7486796290726009,2025-06-15 14:10:39.679025,2025-06-15 14:11:22.261854,0 days 00:00:42.582829,False,15,log2,1,10,232,COMPLETE
2,0.6210907179261456,2025-06-15 14:10:39.681022,2025-06-15 14:11:18.450985,0 days 00:00:38.769963,False,11,log2,4,4,257,COMPLETE
3,0.7911191903262798,2025-06-15 14:10:39.682529,2025-06-15 14:11:05.423046,0 days 00:00:25.740517,True,27,0.5,1,8,102,COMPLETE
4,0.7755958897658028,2025-06-15 14:10:39.685053,2025-06-15 14:12:11.237986,0 days 00:01:31.552933,True,17,0.5,5,4,361,COMPLETE
5,0.5033941962781782,2025-06-15 14:10:39.687055,2025-06-15 14:11:24.674092,0 days 00:00:44.987037,False,5,sqrt,4,9,310,COMPLETE
6,0.7853338955205597,2025-06-15 14:10:39.689053,2025-06-15 14:11:37.287467,0 days 00:00:57.598414,False,16,0.5,5,7,251,COMPLETE
7,0.7469445081122441,2025-06-15 14:10:39.691059,2025-06-15 14:11:50.571841,0 days 00:01:10.880782,False,7,0.5,1,7,359,COMPLETE
8,0.7868827472063262,2025-06-15 14:11:05.433585,2025-06-15 14:12:19.998088,0 days 00:01:14.564503,False,17,0.5,4,6,316,COMPLETE
9,0.6716406477784995,2025-06-15 14:11:13.412071,2025-06-15 14:12:07.983426,0 days 00:00:54.571355,False,9,log2,1,8,336,COMPLETE
10,0.772086144122486,2025-06-15 14:11:18.459456,2025-06-15 14:13:11.529150,0 days 00:01:53.069694,True,21,log2,1,2,443,COMPLETE
11,0.6765070174411154,2025-06-15 14:11:22.267885,2025-06-15 14:11:53.668431,0 days 00:00:31.400546,False,16,sqrt,5,9,199,COMPLETE
12,0.5424674181070834,2025-06-15 14:11:24.682642,2025-06-15 14:12:31.075756,0 days 00:01:06.393114,True,6,log2,1,5,330,COMPLETE
13,0.5693676058816584,2025-06-15 14:11:37.293713,2025-06-15 14:13:19.541939,0 days 00:01:42.248226,True,24,log2,5,3,477,COMPLETE
14,0.7679449750747805,2025-06-15 14:11:50.581619,2025-06-15 14:13:29.955411,0 days 00:01:39.373792,False,15,sqrt,1,4,498,COMPLETE
15,0.6366889707012428,2025-06-15 14:11:53.676779,2025-06-15 14:12:24.338666,0 days 00:00:30.661887,True,19,sqrt,5,8,146,COMPLETE
16,0.7304505782201198,2025-06-15 14:12:07.989942,2025-06-15 14:12:38.387513,0 days 00:00:30.397571,False,23,sqrt,3,2,175,COMPLETE
17,0.7921718524783025,2025-06-15 14:12:11.244502,2025-06-15 14:14:18.353202,0 days 00:02:07.108700,True,29,0.5,2,5,455,COMPLETE
18,0.7926383565078048,2025-06-15 14:12:20.010101,2025-06-15 14:14:31.428482,0 days 00:02:11.418381,True,26,0.5,2,5,477,COMPLETE
19,0.7963251998594341,2025-06-15 14:12:24.343672,2025-06-15 14:14:25.448820,0 days 00:02:01.105148,True,30,0.5,2,2,432,COMPLETE
20,0.7940308528531692,2025-06-15 14:12:31.083268,2025-06-15 14:14:44.139346,0 days 00:02:13.056078,True,30,0.5,2,2,482,COMPLETE
21,0.7942101325474923,2025-06-15 14:12:38.393513,2025-06-15 14:14:31.179462,0 days 00:01:52.785949,True,30,0.5,2,5,410,COMPLETE
22,0.7899580368719319,2025-06-15 14:13:11.536163,2025-06-15 14:15:04.894206,0 days 00:01:53.358043,True,30,0.5,2,5,439,COMPLETE
23,0.7911846029213654,2025-06-15 14:13:19.550060,2025-06-15 14:15:03.723854,0 days 00:01:44.173794,True,29,0.5,2,6,408,COMPLETE
24,0.7921307964830746,2025-06-15 14:13:29.961934,2025-06-15 14:13:59.659952,0 days 00:00:29.698018,True,29,0.5,2,5,102,COMPLETE
25,0.7912288692211751,2025-06-15 14:13:59.666669,2025-06-15 14:14:27.585012,0 days 00:00:27.918343,True,30,0.5,2,6,112,COMPLETE
26,0.7934034204107325,2025-06-15 14:14:18.361718,2025-06-15 14:16:04.141055,0 days 00:01:45.779337,True,29,0.5,2,5,429,COMPLETE
27,0.7935750805903753,2025-06-15 14:14:25.455332,2025-06-15 14:16:08.630394,0 days 00:01:43.175062,True,30,0.5,2,3,413,COMPLETE
28,0.7917363010065802,2025-06-15 14:14:27.590300,2025-06-15 14:16:07.121771,0 days 00:01:39.531471,True,30,0.5,2,5,402,COMPLETE
29,0.7955114355975796,2025-06-15 14:14:31.187465,2025-06-15 14:16:15.417447,0 days 00:01:44.229982,True,28,0.5,2,3,415,COMPLETE
30,0.789116725684126,2025-06-15 14:14:31.434491,2025-06-15 14:16:10.908104,0 days 00:01:39.473613,True,26,0.5,3,3,408,COMPLETE
31,0.785674423479447,2025-06-15 14:14:44.144344,2025-06-15 14:16:25.256758,0 days 00:01:41.112414,True,28,0.5,3,3,410,COMPLETE
32,0.7887631267187043,2025-06-15 14:15:03.732856,2025-06-15 14:16:46.918987,0 days 00:01:43.186131,True,27,0.5,3,3,412,COMPLETE
33,0.7866201948805951,2025-06-15 14:15:04.901733,2025-06-15 14:16:45.331919,0 days 00:01:40.430186,True,24,0.5,3,3,402,COMPLETE
34,0.7861522738903226,2025-06-15 14:16:04.146925,2025-06-15 14:17:43.301210,0 days 00:01:39.154285,True,24,0.5,3,3,386,COMPLETE
35,0.7869965746702302,2025-06-15 14:16:07.136027,2025-06-15 14:17:45.419500,0 days 00:01:38.283473,True,24,0.5,3,3,389,COMPLETE
36,0.7849628175124534,2025-06-15 14:16:08.635392,2025-06-15 14:17:47.062679,0 days 00:01:38.427287,True,26,0.5,3,3,388,COMPLETE
37,0.7868168104532037,2025-06-15 14:16:10.915534,2025-06-15 14:17:48.670452,0 days 00:01:37.754918,True,27,0.5,3,2,386,COMPLETE
38,0.7844082601587702,2025-06-15 14:16:15.422451,2025-06-15 14:17:52.991071,0 days 00:01:37.568620,True,27,0.5,3,2,384,COMPLETE
39,0.7840114868529086,2025-06-15 14:16:25.262391,2025-06-15 14:17:59.135141,0 days 00:01:33.872750,True,25,0.5,3,2,368,COMPLETE
40,0.786032688465871,2025-06-15 14:16:45.338146,2025-06-15 14:18:51.908218,0 days 00:02:06.570072,True,27,0.5,3,2,499,COMPLETE
41,0.7886866760618514,2025-06-15 14:16:46.925739,2025-06-15 14:18:53.457039,0 days 00:02:06.531300,True,25,0.5,3,2,498,COMPLETE
42,0.7925805874447178,2025-06-15 14:17:43.306959,2025-06-15 14:19:20.912115,0 days 00:01:37.605156,True,26,0.5,2,2,372,COMPLETE
43,0.7959930048555028,2025-06-15 14:17:45.429012,2025-06-15 14:19:46.619489,0 days 00:02:01.190477,True,27,0.5,2,2,463,COMPLETE
