number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9148498716654876,2025-06-15 12:27:42.465949,2025-06-15 12:28:21.370387,0 days 00:00:38.904438,False,19,0.5,4,4,138,COMPLETE
1,0.91523202242596,2025-06-15 12:27:42.472789,2025-06-15 12:28:50.348708,0 days 00:01:07.875919,False,16,0.5,5,8,252,COMPLETE
2,0.9075602050116658,2025-06-15 12:27:42.475454,2025-06-15 12:28:45.861600,0 days 00:01:03.386146,False,13,sqrt,4,7,325,COMPLETE
3,0.9009611044643929,2025-06-15 12:27:42.478093,2025-06-15 12:29:00.242487,0 days 00:01:17.764394,False,8,sqrt,3,2,429,COMPLETE
4,0.9142995139463936,2025-06-15 12:27:42.481282,2025-06-15 12:29:17.512742,0 days 00:01:35.031460,False,21,0.5,4,10,354,COMPLETE
5,0.908438792326877,2025-06-15 12:27:42.482870,2025-06-15 12:29:14.879203,0 days 00:01:32.396333,False,23,sqrt,4,10,482,COMPLETE
6,0.9021809357851278,2025-06-15 12:27:42.484464,2025-06-15 12:29:41.889174,0 days 00:01:59.404710,True,28,sqrt,5,6,493,COMPLETE
7,0.9128763840642348,2025-06-15 12:27:42.484985,2025-06-15 12:28:59.048337,0 days 00:01:16.563352,False,19,log2,2,2,393,COMPLETE
8,0.8975484822926504,2025-06-15 12:28:21.378356,2025-06-15 12:29:19.116176,0 days 00:00:57.737820,False,9,log2,4,10,332,COMPLETE
9,0.9162791506436685,2025-06-15 12:28:45.873150,2025-06-15 12:30:31.021037,0 days 00:01:45.147887,True,18,0.5,2,9,383,COMPLETE
10,0.8935363171658672,2025-06-15 12:28:50.373746,2025-06-15 12:29:46.036094,0 days 00:00:55.662348,True,8,log2,5,10,248,COMPLETE
11,0.9009971664205677,2025-06-15 12:28:59.055245,2025-06-15 12:29:35.346404,0 days 00:00:36.291159,True,22,log2,4,6,156,COMPLETE
12,0.9007157470747501,2025-06-15 12:29:00.254878,2025-06-15 12:30:30.903323,0 days 00:01:30.648445,True,23,log2,4,5,412,COMPLETE
13,0.8913632005983032,2025-06-15 12:29:14.886525,2025-06-15 12:30:18.923744,0 days 00:01:04.037219,False,5,sqrt,2,3,416,COMPLETE
14,0.9072471775985861,2025-06-15 12:29:17.520190,2025-06-15 12:30:05.499995,0 days 00:00:47.979805,False,28,log2,1,9,259,COMPLETE
15,0.9069322262424079,2025-06-15 12:29:19.120910,2025-06-15 12:30:36.092967,0 days 00:01:16.972057,True,26,sqrt,3,8,347,COMPLETE
16,0.9008206097849832,2025-06-15 12:29:35.356990,2025-06-15 12:30:19.396825,0 days 00:00:44.039835,True,9,log2,2,5,196,COMPLETE
17,0.916099986635586,2025-06-15 12:29:41.897405,2025-06-15 12:30:46.582982,0 days 00:01:04.685577,True,14,0.5,1,8,243,COMPLETE
18,0.9191968301492489,2025-06-15 12:29:46.049289,2025-06-15 12:30:21.268202,0 days 00:00:35.218913,False,14,0.5,1,4,139,COMPLETE
19,0.9153942397659252,2025-06-15 12:30:05.506141,2025-06-15 12:30:31.900315,0 days 00:00:26.394174,False,15,0.5,5,4,110,COMPLETE
20,0.9137562168546438,2025-06-15 12:30:18.929403,2025-06-15 12:30:45.096537,0 days 00:00:26.167134,False,15,0.5,5,4,115,COMPLETE
21,0.9144292387014842,2025-06-15 12:30:19.402219,2025-06-15 12:30:47.336788,0 days 00:00:27.934569,False,17,0.5,5,4,122,COMPLETE
