number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,params_kernel,state
0,0.6942042253396705,2025-05-29 12:02:44.936418,2025-05-29 12:06:32.238157,0 days 00:03:47.301739,77.97651161162983,,scale,rbf,COMPLETE
1,0.512561674436741,2025-05-29 12:02:44.939430,2025-05-29 12:49:21.867352,0 days 00:46:36.927922,80.88303388788154,,scale,linear,COMPLETE
2,0.574911479951948,2025-05-29 12:02:44.941427,2025-05-29 12:06:32.746726,0 days 00:03:47.805299,35.0678543679875,3.0,scale,poly,COMPLETE
3,0.512807941446212,2025-05-29 12:02:44.945945,2025-05-29 12:06:32.469543,0 days 00:03:47.523598,13.485603938049907,,auto,linear,COMPLETE
4,0.4288518646899821,2025-05-29 12:06:32.267550,2025-05-29 12:35:14.970958,0 days 00:28:42.703408,3.0994559256099348,4.0,auto,poly,COMPLETE
5,0.512561674436741,2025-05-29 12:06:32.474813,2025-05-29 12:57:36.649598,0 days 00:51:04.174785,64.07011163065133,,auto,linear,COMPLETE
6,0.43074786948712435,2025-05-29 12:06:32.753251,2025-05-29 12:49:21.480313,0 days 00:42:48.727062,0.5367608863768683,3.0,scale,poly,COMPLETE
7,0.5125566908594124,2025-05-29 12:35:14.973464,2025-05-29 13:13:00.538554,0 days 00:37:45.565090,59.548812919839186,,auto,linear,COMPLETE
8,0.5128203365885317,2025-05-29 12:49:21.483313,2025-05-29 12:58:05.831983,0 days 00:08:44.348670,0.5879647091817419,,auto,linear,COMPLETE
9,0.6926184352605427,2025-05-29 12:49:21.871866,2025-05-29 12:58:06.531879,0 days 00:08:44.660013,64.899450013753,,scale,rbf,COMPLETE
10,0.5124454321823397,2025-05-29 12:57:36.652631,2025-05-29 12:59:37.739588,0 days 00:02:01.086957,2.1924102049703116,,auto,linear,COMPLETE
11,0.51271980438871,2025-05-29 12:58:05.834491,2025-05-29 13:13:00.746027,0 days 00:14:54.911536,5.616440962017578,,auto,linear,COMPLETE
12,0.5125653267865294,2025-05-29 12:58:06.534882,2025-05-29 13:35:17.679237,0 days 00:37:11.144355,73.32037072722083,,scale,linear,COMPLETE
13,0.6935396288263055,2025-05-29 12:59:37.742095,2025-05-29 13:13:17.403400,0 days 00:13:39.661305,96.2574454252986,,scale,rbf,COMPLETE
14,0.6931751104928722,2025-05-29 13:13:00.540554,2025-05-29 13:13:51.281799,0 days 00:00:50.741245,98.74926181662565,,scale,rbf,COMPLETE
15,0.6930624354058823,2025-05-29 13:13:00.749554,2025-05-29 13:13:51.731233,0 days 00:00:50.981679,99.35556971137692,,scale,rbf,COMPLETE
16,0.6936753763439664,2025-05-29 13:13:17.406915,2025-05-29 13:14:10.109941,0 days 00:00:52.703026,97.57202512336151,,scale,rbf,COMPLETE
17,0.6930624354058823,2025-05-29 13:13:51.284958,2025-05-29 13:14:42.233447,0 days 00:00:50.948489,99.20426488155509,,scale,rbf,COMPLETE
18,0.6934138624604942,2025-05-29 13:13:51.734235,2025-05-29 13:14:42.702607,0 days 00:00:50.968372,83.89244342617889,,scale,rbf,COMPLETE
19,0.693336143523552,2025-05-29 13:14:10.112943,2025-05-29 13:14:49.620741,0 days 00:00:39.507798,83.57992609915769,,scale,rbf,COMPLETE
