number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,params_kernel,state
0,0.653104740459414,2025-05-29 07:28:58.303492,2025-05-29 07:29:05.719101,0 days 00:00:07.415609,73.76405402202593,2.0,scale,poly,COMPLETE
1,0.5573310379575217,2025-05-29 07:29:05.721385,2025-05-29 07:29:09.715539,0 days 00:00:03.994154,44.9377501928576,3.0,auto,poly,COMPLETE
2,0.5125019394649627,2025-05-29 07:29:09.717046,2025-05-29 07:51:29.272109,0 days 00:22:19.555063,46.9762271959558,,auto,linear,COMPLETE
3,0.6831483382033371,2025-05-29 07:51:29.274630,2025-05-29 07:51:38.723895,0 days 00:00:09.449265,22.034274283547212,,scale,rbf,COMPLETE
4,0.523336024686144,2025-05-29 07:51:38.725895,2025-05-29 07:51:44.082119,0 days 00:00:05.356224,22.28796393678792,4.0,scale,poly,COMPLETE
5,0.6912662854780954,2025-05-29 07:51:44.084111,2025-05-29 07:51:51.414777,0 days 00:00:07.330666,72.6894324712542,,auto,rbf,COMPLETE
6,0.6721686991863153,2025-05-29 07:51:51.416779,2025-05-29 07:51:58.347049,0 days 00:00:06.930270,12.331392622776228,,scale,rbf,COMPLETE
7,0.5126846213765126,2025-05-29 07:51:58.350050,2025-05-29 07:58:36.627201,0 days 00:06:38.277151,22.808826198845658,,scale,linear,COMPLETE
8,0.5420217527399476,2025-05-29 07:58:36.629729,2025-05-29 07:58:42.032604,0 days 00:00:05.402875,83.80710771672919,4.0,auto,poly,COMPLETE
9,0.5429599878073996,2025-05-29 07:58:42.035124,2025-05-29 07:58:47.344353,0 days 00:00:05.309229,88.54456762632462,4.0,auto,poly,COMPLETE
10,0.6903482253644326,2025-05-29 07:58:47.347356,2025-05-29 07:58:54.623268,0 days 00:00:07.275912,67.96975305294772,,auto,rbf,COMPLETE
11,0.6906376222382421,2025-05-29 07:58:54.624268,2025-05-29 07:59:02.134233,0 days 00:00:07.509965,65.69066975683411,,auto,rbf,COMPLETE
12,0.690258703516541,2025-05-29 07:59:02.136233,2025-05-29 07:59:09.594313,0 days 00:00:07.458080,62.85591991381329,,auto,rbf,COMPLETE
13,0.6923463504788576,2025-05-29 07:59:09.596311,2025-05-29 07:59:17.163288,0 days 00:00:07.566977,97.07041735204211,,auto,rbf,COMPLETE
14,0.6924400330512737,2025-05-29 07:59:17.164289,2025-05-29 07:59:24.793253,0 days 00:00:07.628964,97.47628637609674,,auto,rbf,COMPLETE
15,0.6924400330512737,2025-05-29 07:59:24.795256,2025-05-29 07:59:32.411166,0 days 00:00:07.615910,97.78878199090698,,auto,rbf,COMPLETE
16,0.692506427425032,2025-05-29 07:59:32.412675,2025-05-29 07:59:40.052568,0 days 00:00:07.639893,98.91309134168267,,auto,rbf,COMPLETE
17,0.512561674436741,2025-05-29 07:59:40.054569,2025-05-29 08:53:26.015213,0 days 00:53:45.960644,86.56762190363025,,auto,linear,COMPLETE
18,0.6885347512311378,2025-05-29 08:53:26.017216,2025-05-29 08:53:50.667891,0 days 00:00:24.650675,56.79486149010437,,auto,rbf,COMPLETE
19,0.6920882304272595,2025-05-29 08:53:50.669891,2025-05-29 08:53:57.552217,0 days 00:00:06.882326,80.56824344680533,,auto,rbf,COMPLETE
