number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_gamma,state
0,0.9021706243531341,2025-06-16 17:07:58.216204,2025-06-16 17:08:10.301415,0 days 00:00:12.085211,10.29737376507379,4,scale,COMPLETE
1,0.9005306303098303,2025-06-16 17:07:58.217645,2025-06-16 17:08:08.198473,0 days 00:00:09.980828,13.492755310814028,3,auto,COMPLETE
2,0.8984169213592311,2025-06-16 17:07:58.218699,2025-06-16 17:08:08.559534,0 days 00:00:10.340835,14.954273789633255,2,scale,COMPLETE
3,0.8975615206661184,2025-06-16 17:07:58.220698,2025-06-16 17:08:10.571769,0 days 00:00:12.351071,70.75572141524545,4,scale,COMPLETE
4,0.8969454710494098,2025-06-16 17:08:08.201859,2025-06-16 17:08:21.910493,0 days 00:00:13.708634,56.37902805038259,4,scale,COMPLETE
5,0.9008207011338729,2025-06-16 17:08:08.562532,2025-06-16 17:08:22.482560,0 days 00:00:13.920028,9.854837381881364,4,auto,COMPLETE
6,0.9003165779406203,2025-06-16 17:08:10.306416,2025-06-16 17:08:23.540117,0 days 00:00:13.233701,43.47031126744256,4,auto,COMPLETE
7,0.8939684346392159,2025-06-16 17:08:10.575769,2025-06-16 17:08:24.966609,0 days 00:00:14.390840,74.53256775146434,2,scale,COMPLETE
8,0.8973623608750454,2025-06-16 17:08:21.911491,2025-06-16 17:08:32.382972,0 days 00:00:10.471481,64.02982096671995,3,scale,COMPLETE
9,0.8946646829670032,2025-06-16 17:08:22.486402,2025-06-16 17:08:32.842484,0 days 00:00:10.356082,1.1502181461149703,2,scale,COMPLETE
10,0.898346625442232,2025-06-16 17:08:23.541118,2025-06-16 17:08:34.563258,0 days 00:00:11.022140,37.62077046895796,2,auto,COMPLETE
11,0.8966937461569865,2025-06-16 17:08:24.968609,2025-06-16 17:08:35.731657,0 days 00:00:10.763048,95.86609596751167,3,scale,COMPLETE
12,0.9001265326129657,2025-06-16 17:08:32.383985,2025-06-16 17:08:42.425359,0 days 00:00:10.041374,34.50980267575165,3,auto,COMPLETE
13,0.9000048757273197,2025-06-16 17:08:32.843482,2025-06-16 17:08:42.995344,0 days 00:00:10.151862,35.07592796788015,3,auto,COMPLETE
14,0.8967993030095199,2025-06-16 17:08:34.564256,2025-06-16 17:08:46.674346,0 days 00:00:12.110090,92.4269625194387,4,auto,COMPLETE
15,0.9013655618558447,2025-06-16 17:08:35.733673,2025-06-16 17:08:47.433746,0 days 00:00:11.700073,24.759531578723585,4,auto,COMPLETE
16,0.9013986577933227,2025-06-16 17:08:42.427359,2025-06-16 17:08:55.094909,0 days 00:00:12.667550,23.31805485578623,4,auto,COMPLETE
17,0.902508437123546,2025-06-16 17:08:42.997344,2025-06-16 17:08:55.755562,0 days 00:00:12.758218,18.30073838190537,4,auto,COMPLETE
18,0.9018450666499156,2025-06-16 17:08:46.675345,2025-06-16 17:09:00.139888,0 days 00:00:13.464543,21.766342821965825,4,auto,COMPLETE
19,0.9023742353828222,2025-06-16 17:08:47.435746,2025-06-16 17:09:01.002457,0 days 00:00:13.566711,20.281562061368675,4,auto,COMPLETE
