number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.805363038632651,2025-05-20 07:58:36.285969,2025-05-20 07:58:56.441011,0 days 00:00:20.155042,0.7402943627113941,0.2457711807543228,0.1368853587001761,6,10,4,161,0.1246499846583764,0.503943995216344,6.781483009124221,0.8025851621481243,COMPLETE
1,0.6407311463886021,2025-05-20 07:58:36.287976,2025-05-20 07:58:47.635066,0 days 00:00:11.347090,0.8685502205127861,4.5455148381370005,0.01723714475573224,2,6,1,130,0.853587036420645,0.31113929610064195,19.474004913618256,0.988262557810135,COMPLETE
2,0.7661563494382764,2025-05-20 07:58:36.289970,2025-05-20 07:58:47.157323,0 days 00:00:10.867353,0.9541615860540152,1.5171052656604873,0.18607094630160484,9,6,2,128,0.6078237348292982,0.7972553977981752,36.04106772584278,0.7062654838465904,COMPLETE
3,0.7792688374672542,2025-05-20 07:58:36.291956,2025-05-20 07:59:06.656938,0 days 00:00:30.364982,0.9655341029276265,0.7887342284286225,0.057554019925343064,1,8,2,288,0.6162365899573308,0.8478907317453097,23.036158857294037,0.7652575650370828,COMPLETE
4,0.7223142904252817,2025-05-20 07:58:36.295220,2025-05-20 07:58:44.449413,0 days 00:00:08.154193,0.8595533963388621,4.889276241095389,0.1601947030301154,0,7,4,181,0.8551916480276486,0.0934017820833265,22.164852220625296,0.9142012912258233,COMPLETE
5,0.7444898931057817,2025-05-20 07:58:36.296269,2025-05-20 07:58:54.808240,0 days 00:00:18.511971,0.8903701306637168,3.0956618116103467,0.11578892906327372,3,6,5,298,0.2091453470330038,0.8432724534597167,24.56812910837913,0.8211497480527445,COMPLETE
6,0.7515017448661498,2025-05-20 07:58:36.299768,2025-05-20 07:58:50.447925,0 days 00:00:14.148157,0.9534859202803945,0.8447364878851332,0.24913390583623482,0,4,5,240,0.5251411973833177,0.2332981880101589,23.75244036109351,0.9588179604068081,COMPLETE
7,0.6823231378303878,2025-05-20 07:58:36.301767,2025-05-20 07:58:45.063113,0 days 00:00:08.761346,0.929197275960326,1.9065790071544915,0.07247708657835727,4,6,5,104,0.5234730455378672,0.346174976493803,39.13320932805658,0.801541796654634,COMPLETE
8,0.7632014517373988,2025-05-20 07:58:44.456026,2025-05-20 07:58:55.702403,0 days 00:00:11.246377,0.86393173118931,2.177039612285589,0.29011675907034695,7,5,3,212,0.4293691501547773,0.01323140327079153,11.633621154352616,0.8971050292655973,COMPLETE
9,0.6875826991208328,2025-05-20 07:58:45.069113,2025-05-20 07:58:53.443544,0 days 00:00:08.374431,0.8121868945134902,2.950060348139687,0.2749099442500067,8,3,3,155,0.7842632029941395,0.8322915645211214,20.85125600592432,0.8436701645271822,COMPLETE
10,0.750484395395528,2025-05-20 07:58:47.163323,2025-05-20 07:59:13.178926,0 days 00:00:26.015603,0.7230978260158752,0.9761640818043105,0.04939973443419786,5,7,1,279,0.6560393863184399,0.9716228545541116,30.975114141687875,0.8551405778387305,COMPLETE
11,0.7538539523223339,2025-05-20 07:58:47.640627,2025-05-20 07:58:56.203011,0 days 00:00:08.562384,0.7372442051298898,2.6625770593861375,0.23333985322714898,10,4,5,160,0.2052550203716229,0.26296060148475353,3.776443715346078,0.8080144965536672,COMPLETE
12,0.7091966385181226,2025-05-20 07:58:50.455443,2025-05-20 07:59:10.426027,0 days 00:00:19.970584,0.7540829202562679,0.28162186169571224,0.016611708255387724,6,10,4,139,0.21634298300161425,0.48098808909078006,30.26171927143634,0.8698717057517285,COMPLETE
13,0.7427229893417456,2025-05-20 07:58:53.448544,2025-05-20 07:59:26.291544,0 days 00:00:32.843000,0.9740941892404593,3.586161297591084,0.01622329184592721,0,10,4,270,0.47830265201317745,0.6378768337936602,24.76123434576876,0.8606401090445128,COMPLETE
14,0.5959057112944193,2025-05-20 07:58:54.814242,2025-05-20 07:59:07.089937,0 days 00:00:12.275695,0.837364788031055,4.51013937931725,0.011737908840831611,4,6,5,139,0.4767664828278788,0.5999398313501756,36.3383386251815,0.9848138542601674,COMPLETE
15,0.6907786169923054,2025-05-20 07:58:55.707004,2025-05-20 07:59:05.259453,0 days 00:00:09.552449,0.7787726804745401,4.609688214050033,0.08217881046172813,10,6,4,114,0.4319384692530075,0.09881496574041493,37.13816433732012,0.721730445675557,COMPLETE
16,0.7739562979298531,2025-05-20 07:58:56.207013,2025-05-20 07:59:14.391497,0 days 00:00:18.184484,0.9096931819317408,0.7077788889610093,0.10223530047713118,4,7,4,195,0.9887844949852521,0.47888356662037945,26.924552964480142,0.7729995037237963,COMPLETE
17,0.7881000626046831,2025-05-20 07:58:56.447011,2025-05-20 07:59:26.516543,0 days 00:00:30.069532,0.716062500603734,0.3806737310426992,0.029262127187794394,5,10,4,238,0.039710249484195284,0.6170684662108765,5.1966946670411005,0.7358070319035244,COMPLETE
18,0.791080404303175,2025-05-20 07:59:05.263453,2025-05-20 07:59:24.704311,0 days 00:00:19.440858,0.9936900927407163,0.005034692705997601,0.035207604785992,6,10,1,147,0.6676789870775048,0.696465463603931,1.4682984557994416,0.7143219153108388,COMPLETE
