number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.7828786075930722,2025-06-15 14:00:21.935896,2025-06-15 14:00:39.881802,0 days 00:00:17.945906,0.9467235207592753,1.9857091366079809,0.2631621209832059,5,5,2,278,0.06642378398340565,0.1958753553387207,35.04776441820288,0.7464920746407302,COMPLETE
1,0.6797090063513599,2025-06-15 14:00:21.938992,2025-06-15 14:00:49.180580,0 days 00:00:27.241588,0.94994703397004,2.6390576108772352,0.013570502182736682,1,7,3,279,0.049619445134625795,0.02850185080208667,32.63947790730688,0.9135892371520383,COMPLETE
2,0.7299096099591583,2025-06-15 14:00:21.942010,2025-06-15 14:00:48.305610,0 days 00:00:26.363600,0.8335616378005496,2.645038894529251,0.013347663431367977,7,10,3,210,0.390616897204184,0.33563724403070005,38.32662005859447,0.8290436331355635,COMPLETE
3,0.6883839241561615,2025-06-15 14:00:21.945259,2025-06-15 14:00:30.993670,0 days 00:00:09.048411,0.8891196677694747,3.40654152698139,0.08299376293433282,1,5,3,137,0.1456502394342989,0.997959081446694,24.59507823127085,0.972885199881623,COMPLETE
4,0.7005583147547527,2025-06-15 14:00:21.950768,2025-06-15 14:00:30.365409,0 days 00:00:08.414641,0.9992973708945121,0.7997762579783568,0.04807638777550411,3,5,2,103,0.016331282691284477,0.9257971771596067,16.993727338782847,0.8283588751675571,COMPLETE
5,0.6803350981208508,2025-06-15 14:00:21.952778,2025-06-15 14:00:31.899038,0 days 00:00:09.946260,0.9185411288126317,2.856744549889483,0.05845908887499417,5,4,4,141,0.5637929301970717,0.8068958291106526,24.483432502379614,0.8763879190075706,COMPLETE
6,0.7367220708476844,2025-06-15 14:00:21.955970,2025-06-15 14:00:52.801204,0 days 00:00:30.845234,0.8297498778778235,1.4950449341838468,0.02159218320726663,9,9,5,274,0.9501529799449828,0.7114260345782658,39.10770975161342,0.8161805949653822,COMPLETE
7,0.7402611666293352,2025-06-15 14:00:21.957972,2025-06-15 14:00:28.963906,0 days 00:00:07.005934,0.8730644925300872,2.683768346917347,0.20716295191158593,10,5,5,153,0.4414190117297425,0.5574788607652693,10.227457135695625,0.9556179635930052,COMPLETE
8,0.7227579715062189,2025-06-15 14:00:28.971421,2025-06-15 14:00:43.067163,0 days 00:00:14.095742,0.8482375105550479,0.9133432178334983,0.056524929547518074,9,3,5,234,0.14351450314394698,0.5339453225221027,6.598706999555206,0.7623629131980996,COMPLETE
9,0.6981525914224125,2025-06-15 14:00:30.372446,2025-06-15 14:00:46.224909,0 days 00:00:15.852463,0.7873295496195065,2.7432263756853392,0.019065242480376686,8,7,3,149,0.5977236762228847,0.13405322034788425,27.47359174253756,0.7539653471022209,COMPLETE
10,0.7699982959713976,2025-06-15 14:00:31.009771,2025-06-15 14:00:42.850683,0 days 00:00:11.840912,0.8806059739870314,2.280816608603884,0.21598401541865037,6,6,1,189,0.37675504279121264,0.15602032183371917,38.92636466033915,0.8735028034298947,COMPLETE
11,0.7745129362586278,2025-06-15 14:00:31.905557,2025-06-15 14:00:46.649903,0 days 00:00:14.744346,0.8852643935508213,0.4621495617915533,0.13696909686386888,6,5,1,179,0.5435827418124367,0.5992775024846007,25.154907565112048,0.7342786535616616,COMPLETE
12,0.7785630111131121,2025-06-15 14:00:39.888831,2025-06-15 14:01:09.306530,0 days 00:00:29.417699,0.9243096076692624,0.9687534520736085,0.031979810166985735,8,8,2,291,0.4963908728494695,0.5375773431609654,20.869051450167714,0.7088435762033587,COMPLETE
13,0.7698652128116136,2025-06-15 14:00:42.855684,2025-06-15 14:00:55.131758,0 days 00:00:12.276074,0.9819696120745509,2.705589335209827,0.0658442768446569,9,9,1,219,0.03425175399559377,0.9278274992638735,20.382966294317296,0.8549737977076987,COMPLETE
14,0.7586009229201652,2025-06-15 14:00:43.072700,2025-06-15 14:00:59.471469,0 days 00:00:16.398769,0.9506342395726909,2.0936553319414775,0.03952911406148335,2,10,4,180,0.19600313436403094,0.902010550182124,28.255743617807052,0.9454695328848752,COMPLETE
15,0.7755410631962144,2025-06-15 14:00:46.229408,2025-06-15 14:01:01.417431,0 days 00:00:15.188023,0.8604467989043391,2.7677115919022546,0.23931427567834515,2,6,1,293,0.12448846874389718,0.9567348731404667,31.68179167062547,0.7457008937414816,COMPLETE
16,0.8047757273786769,2025-06-15 14:00:46.652901,2025-06-15 14:01:11.794860,0 days 00:00:25.141959,0.9458404094626823,0.4190632030895458,0.07844815555014621,2,10,2,242,0.2905507029622112,0.5743683572266262,16.142904928926843,0.9306009106992623,COMPLETE
17,0.7624046084018646,2025-06-15 14:00:48.312386,2025-06-15 14:01:02.291219,0 days 00:00:13.978833,0.9763966505915614,4.745472805300363,0.2775681859954735,0,8,2,300,0.9691140649717835,0.034157787730304645,33.65157830012469,0.7079963222982566,COMPLETE
18,0.7589665342793918,2025-06-15 14:00:49.187099,2025-06-15 14:01:02.198501,0 days 00:00:13.011402,0.7139730645020445,4.844051731915693,0.29425722066984833,4,9,1,285,0.8789107236823318,0.7033708348950005,30.931549736014695,0.7095525118364795,COMPLETE
19,0.732749666478922,2025-06-15 14:00:52.808715,2025-06-15 14:01:04.581590,0 days 00:00:11.772875,0.724729495450253,4.817424117615204,0.29451390529975907,4,3,1,242,0.7394754258042144,0.39742948942199285,17.162125609089383,0.7104887594668945,COMPLETE
20,0.7284536206097113,2025-06-15 14:00:55.133759,2025-06-15 14:01:09.468662,0 days 00:00:14.334903,0.7493134552845903,4.845504811974804,0.2982646614709073,4,3,2,246,0.7367849262807693,0.3602699837964022,31.56323094605471,0.7068251635411263,COMPLETE
21,0.6958751514470322,2025-06-15 14:00:59.476979,2025-06-15 14:01:14.219179,0 days 00:00:14.742200,0.7125852545368963,4.723301019806344,0.11929871336886337,4,3,2,250,0.8473845874081447,0.3734360921102211,32.709119148905444,0.7004165788881647,COMPLETE
22,0.7342105874122815,2025-06-15 14:01:01.421956,2025-06-15 14:01:19.121780,0 days 00:00:17.699824,0.7381850149707566,4.895148039685607,0.2975613567310437,3,3,2,299,0.2724136751486971,0.3667971674398327,32.38466452918377,0.7202542102842977,COMPLETE
23,0.6973714457531003,2025-06-15 14:01:02.203913,2025-06-15 14:01:17.521385,0 days 00:00:15.317472,0.7743300496405323,3.8944136411244443,0.11463990192866379,3,3,2,250,0.28260941755453806,0.3809990460038528,33.890083317920926,0.7887450801334263,COMPLETE
24,0.7114435626619204,2025-06-15 14:01:02.297737,2025-06-15 14:01:17.903952,0 days 00:00:15.606215,0.7847746426660176,3.780474776970404,0.11986368680775684,4,3,2,252,0.275192138321612,0.317915956242216,16.27861627931731,0.7840415419688225,COMPLETE
25,0.749660049378934,2025-06-15 14:01:04.584591,2025-06-15 14:01:21.991251,0 days 00:00:17.406660,0.8052857826964916,3.755571676597878,0.12150119878968411,3,6,2,256,0.2879173199422947,0.3327924426040149,35.10814209101016,0.7888376980403573,COMPLETE
26,0.7921159308431733,2025-06-15 14:01:09.310170,2025-06-15 14:01:42.987715,0 days 00:00:33.677545,0.9208432091375103,0.09503066124710191,0.03321707517925769,7,8,2,258,0.23860373793728257,0.3029191273551807,12.861320308191704,0.7750766013438131,COMPLETE
27,0.8066315582697786,2025-06-15 14:01:09.475186,2025-06-15 14:01:43.162620,0 days 00:00:33.687434,0.9212936281681422,0.08297079323387391,0.027567804750973566,7,8,2,260,0.2783756325995266,0.2275178451282266,1.9341542872015793,0.7852813747203142,COMPLETE
28,0.7926027991633655,2025-06-15 14:01:11.800384,2025-06-15 14:01:45.894111,0 days 00:00:34.093727,0.9318896023776195,0.07837220285974278,0.030181390211925015,7,8,2,266,0.29277795774349863,0.26144992556301017,13.00132274691336,0.7873923817039925,COMPLETE
29,0.7800969739385628,2025-06-15 14:01:14.224201,2025-06-15 14:01:44.537228,0 days 00:00:30.313027,0.9247653705404103,1.6557942590915942,0.033361640333315824,7,8,2,265,0.2972410578660285,0.4521097465096038,13.879017652496263,0.7904593359332286,COMPLETE
30,0.776748823251222,2025-06-15 14:01:17.525231,2025-06-15 14:01:47.000701,0 days 00:00:29.475470,0.9462038214313606,1.6926995856263114,0.02920557594364746,7,8,2,263,0.2706517962021589,0.2378747193309596,12.737239218291005,0.7845473289224171,COMPLETE
31,0.7705382946512864,2025-06-15 14:01:17.908016,2025-06-15 14:01:43.413136,0 days 00:00:25.505120,0.923716346906474,1.5008527949894384,0.029048273090854698,7,8,2,272,0.30406310130057845,0.47058117800527743,12.533197602539687,0.9945139854554921,COMPLETE
32,0.7869762740895799,2025-06-15 14:01:19.124374,2025-06-15 14:01:52.304813,0 days 00:00:33.180439,0.9117521479415139,0.0003682859619092982,0.03400850234327104,7,8,3,268,0.46397325983448046,0.4666078014995416,12.36503653579369,0.9082623138691165,COMPLETE
33,0.7698196854073619,2025-06-15 14:01:21.993258,2025-06-15 14:01:49.901406,0 days 00:00:27.908148,0.9176088056516208,1.4379598597295962,0.029382541091445596,7,8,4,266,0.45980766071159007,0.4720745491232949,12.152225310821784,0.9150965158614988,COMPLETE
34,0.7789170513211131,2025-06-15 14:01:42.991730,2025-06-15 14:02:16.172917,0 days 00:00:33.181187,0.9159465054706465,0.17397911053716955,0.02461878829851506,6,8,3,262,0.22433399344193172,0.23032685294515653,11.500067994431111,0.9101449510183801,COMPLETE
