number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.8836923272201511,2025-06-15 11:05:13.012569,2025-06-15 11:05:49.932871,0 days 00:00:36.920302,0.7328111344381678,3.5868846342758327,0.015660420540830597,5,8,2,159,0.23718407907723826,0.3216424956131443,17.11626521599161,0.7680527307483127,COMPLETE
1,0.9180942085962039,2025-06-15 11:05:13.017272,2025-06-15 11:05:50.655905,0 days 00:00:37.638633,0.710288007929628,0.5621146407231309,0.2562289911710278,6,9,3,274,0.5210807475454254,0.8591433881579013,1.3532362852090443,0.816516370369943,COMPLETE
2,0.8952090892082041,2025-06-15 11:05:13.020613,2025-06-15 11:05:53.576769,0 days 00:00:40.556156,0.9464790844742882,3.7034337544521065,0.010241290919227328,7,6,5,249,0.5841094689855708,0.5322592793538425,3.736566442129584,0.7241408116755896,COMPLETE
3,0.9103640712436599,2025-06-15 11:05:13.023672,2025-06-15 11:05:44.053179,0 days 00:00:31.029507,0.8657674804944083,2.1229514633254363,0.15612638662878026,5,7,1,162,0.20850733695122992,0.20760997087643995,18.861078169561207,0.737303159412345,COMPLETE
4,0.9060151189077359,2025-06-15 11:05:13.027182,2025-06-15 11:05:45.898791,0 days 00:00:32.871609,0.7043877659673374,4.486429177641763,0.04608824556998501,8,4,1,218,0.6891022210116751,0.1295826972063615,3.552623789625005,0.7851764907771307,COMPLETE
5,0.8839205817593341,2025-06-15 11:05:13.033179,2025-06-15 11:05:51.223632,0 days 00:00:38.190453,0.9964197229417222,3.780779645167291,0.018493897989337146,4,7,2,189,0.7781337937519697,0.4975883968750683,13.759452859864021,0.769442722831274,COMPLETE
6,0.8750585330882036,2025-06-15 11:05:13.035179,2025-06-15 11:06:06.258929,0 days 00:00:53.223750,0.7917593760221463,1.0926306966953976,0.010650204509094577,1,10,1,261,0.270497714034571,0.06553521995185807,25.393943513050246,0.97588000852645,COMPLETE
7,0.9095084915167548,2025-06-15 11:05:13.038177,2025-06-15 11:05:28.925354,0 days 00:00:15.887177,0.890200744819202,3.617919504118362,0.23367601376098052,9,8,5,125,0.06438282174078114,0.5125637850540897,2.800902693778035,0.7595751221700723,COMPLETE
8,0.8861809362353845,2025-06-15 11:05:28.953912,2025-06-15 11:06:07.838298,0 days 00:00:38.884386,0.7723456413142892,0.20348740773473817,0.015633257454640604,0,10,4,222,0.7722038083677321,0.08712054041806927,37.27478763619533,0.9310130433746315,COMPLETE
9,0.8928728469886937,2025-06-15 11:05:44.060179,2025-06-15 11:05:55.851793,0 days 00:00:11.791614,0.9908235847379061,4.5021803753144765,0.2095280018636469,8,7,4,253,0.008798405100896023,0.007914471243925969,14.045629472271214,0.948448045879736,COMPLETE
