airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;rvr_tendency;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KIAD;10.0;6;0;180;6000.0;Excellent;19;C;CAT III;5.9;-1.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;6;0;180;6000.0;Excellent;19;L;CAT III;5.9;-1.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;6;0;180;6000.0;Excellent;19;R;CAT III;5.9;-1.0;99999;No Phenomenon;1;0;0;1
KSFO;10.0;8;0;260;6000.0;Excellent;28;L;CAT II;7.5;-2.7;99999;No Phenomenon;1;0;0;0
KATL;10.0;0;0;0;6000.0;Excellent;27;L;CAT II;0.0;0.0;99999;No Phenomenon;0;0;0;1
KORD;10.0;5;0;310;6000.0;Excellent;28;R;CAT III;4.3;2.5;5000;No Phenomenon;1;0;0;0
KSFO;10.0;5;0;260;6000.0;Excellent;28;L;CAT II;4.7;-1.7;99999;No Phenomenon;1;0;0;0
KIAD;10.0;0;0;0;6000.0;Excellent;19;C;CAT III;-0.0;0.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;0;0;0;6000.0;Excellent;19;L;CAT III;-0.0;0.0;99999;No Phenomenon;1;0;0;1
KIAD;10.0;0;0;0;6000.0;Excellent;19;R;CAT III;-0.0;0.0;99999;No Phenomenon;1;0;0;1
KATL;10.0;0;0;0;6000.0;Excellent;26;R;CAT II;-0.0;0.0;99999;No Phenomenon;0;0;0;1
KORD;10.0;4;0;210;6000.0;Excellent;28;R;CAT III;1.4;-3.8;5000;No Phenomenon;1;0;0;0
KIAD;10.0;3;0;150;6000.0;Excellent;19;L;CAT III;2.3;-1.9;99999;No Phenomenon;1;0;0;1
KIAD;10.0;3;0;150;6000.0;Excellent;19;R;CAT III;2.3;-1.9;99999;No Phenomenon;1;0;0;1
KSFO;10.0;3;0;270;6000.0;Excellent;28;L;CAT II;3.0;-0.5;99999;No Phenomenon;1;0;0;0
KJFK;10.0;4;0;160;6000.0;Excellent;22;L;CAT III;2.0;-3.5;22000;No Phenomenon;1;0;0;0
KJFK;10.0;4;0;160;6000.0;Excellent;22;R;CAT I;2.0;-3.5;22000;No Phenomenon;1;0;0;0
KATL;10.0;3;0;240;6000.0;Excellent;26;R;CAT II;2.8;-1.0;99999;No Phenomenon;0;0;0;1
KORD;10.0;4;0;240;6000.0;Excellent;27;C;CAT III;3.5;-2.0;99999;No Phenomenon;1;0;0;0
KORD;10.0;4;0;240;6000.0;Excellent;27;R;CAT III;3.5;-2.0;99999;No Phenomenon;1;0;0;0
KORD;10.0;4;0;240;6000.0;Excellent;28;C;CAT III;3.1;-2.6;99999;No Phenomenon;1;0;0;0
KJFK;10.0;7;0;190;6000.0;Excellent;22;L;CAT III;6.1;-3.5;24000;No Phenomenon;1;0;0;0
KJFK;10.0;7;0;190;6000.0;Excellent;22;R;CAT I;6.1;-3.5;24000;No Phenomenon;1;0;0;0
KATL;8.0;3;0;240;6000.0;Excellent;26;R;CAT II;2.8;-1.0;99999;No Phenomenon;0;0;0;1
KORD;10.0;4;0;250;6000.0;Excellent;27;C;CAT III;3.8;-1.4;99999;No Phenomenon;1;0;0;0
