atis_id;airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
1;KIAD;10;6;0;180;>6000 ;19;L;CAT III;5.9;1;-1;N/A;1;0;0;1
1;KIAD;10;6;0;180;>6000 ;19;C;CAT III;5.9;1;-1;N/A;1;0;0;1
1;KIAD;10;6;0;180;>6000 ;19;R;CAT III;5.9;1;-1;N/A;1;0;0;1
2;KLAX;10;4;0;40;>6000 ;6;R;No ILS;3.8;1.4;-1;N/A;0;0;1;0
3;KSFO;10;8;0;260;>6000 ;28;L;CAT III;7.5;2.7;-1;N/A;1;0;0;0
4;KATL;10;0;0;0;>6000 ;27;L;No ILS;0;0;-1;N/A;0;0;0;1
5;KORD;10;5;0;310;>6000 ;28;R;CAT III;4.3;2.5;5000;N/A;1;0;0;0
6;KSFO;10;5;0;260;>6000 ;28;L;CAT III;4.7;1.7;-1;N/A;1;0;0;0
6;KSFO;10;5;0;260;>6000 ;28;L;CAT III;4.7;1.7;-1;N/A;1;0;0;0
7;KIAD;10;0;0;0;>6000 ;19;L;CAT III;0;0;-1;N/A;1;0;0;0
7;KIAD;10;0;0;0;>6000 ;19;C;CAT III;0;0;-1;N/A;1;0;0;0
7;KIAD;10;0;0;0;>6000 ;19;R;CAT III;0;0;-1;N/A;1;0;0;0
8;KATL;10;0;0;0;>6000 ;26;R;No ILS;0;0;-1;N/A;0;0;0;1
8;KATL;10;0;0;0;>6000 ;27;L;No ILS;0;0;-1;N/A;0;0;0;1
8;KATL;10;0;0;0;>6000 ;28;;No ILS;0;0;-1;N/A;0;0;0;1
9;KLAX;10;3;0;50;>6000 ;6;R;No ILS;3;0.5;-1;N/A;0;0;1;0
10;KORD;10;4;0;210;>6000 ;28;R;CAT III;1.4;3.8;5000;N/A;1;0;0;0
11;KIAD;10;3;0;150;>6000 ;19;L;CAT III;2.3;1.9;-1;N/A;1;0;0;1
11;KIAD;10;3;0;150;>6000 ;19;R;CAT III;2.3;1.9;-1;N/A;1;0;0;1
12;KSFO;10;3;0;270;>6000 ;28;L;CAT III;3;0.5;-1;N/A;1;0;0;0
13;KLAX;10;5;0;70;>6000 ;6;R;No ILS;4.9;0.9;-1;N/A;0;0;1;0
14;KJFK;10;4;0;160;>6000 ;22;L;CAT III;2;3.5;22000;N/A;1;0;0;0
14;KJFK;10;4;0;160;>6000 ;22;R;CAT III;2;3.5;22000;N/A;1;0;0;0
15;KATL;10;3;0;240;>6000 ;26;R;No ILS;2.8;1;-1;N/A;0;0;0;1
15;KATL;10;3;0;240;>6000 ;27;L;No ILS;2.6;1.5;-1;N/A;0;0;0;1
15;KATL;10;3;0;240;>6000 ;28;;No ILS;2.3;1.9;-1;N/A;0;0;0;1
16;KORD;10;4;0;240;>6000 ;27;C;CAT III;3.5;2;-1;N/A;1;0;0;0
16;KORD;10;4;0;240;>6000 ;27;R;CAT III;3.5;2;-1;N/A;1;0;0;0
16;KORD;10;4;0;240;>6000 ;28;C;CAT III;3.1;2.6;-1;N/A;1;0;0;0
17;KJFK;10;7;0;190;>6000 ;22;L;CAT III;6.1;3.5;24000;N/A;1;0;0;0
17;KJFK;10;7;0;190;>6000 ;22;R;CAT III;6.1;3.5;24000;N/A;1;0;0;0
18;KATL;8;3;0;240;>6000 ;26;R;No ILS;2.8;1;-1;N/A;0;0;0;1
18;KATL;8;3;0;240;>6000 ;27;L;No ILS;2.6;1.5;-1;N/A;0;0;0;1
18;KATL;8;3;0;240;>6000 ;28;;No ILS;2.3;1.9;-1;N/A;0;0;0;1
19;KORD;10;4;0;250;>6000 ;27;C;CAT III;3.8;1.4;-1;N/A;1;0;0;0
19;KORD;10;4;0;250;>6000 ;27;R;CAT III;3.8;1.4;-1;N/A;1;0;0;0
19;KORD;10;4;0;250;>6000 ;28;C;CAT III;3.5;2;-1;N/A;1;0;0;0
20;KSFO;10;4;0;260;5500 ;28;R;CAT III;3.8;1.4;-1;N/A;1;0;0;0
21;KIAD;10;0;0;0;>6000 ;19;L;CAT III;0;0;25000;N/A;1;0;0;1
22;KLAX;9;6;0;100;>6000 ;6;R;No ILS;4.6;3.9;-1;N/A;0;0;1;0
23;KSFO;1;0;0;0;1200 ;28;R;CAT III;0;0;200;FG;1;0;0;0
24;KLAX;1;4;0;100;;;;;;;;;;;;
25;KORD;10;8;0;300;>6000 ;27;C;CAT III;6.9;4;-1;N/A;1;0;0;0
25;KORD;10;8;0;300;>6000 ;27;R;CAT III;6.9;4;-1;N/A;1;0;0;0
25;KORD;10;8;0;300;>6000 ;28;C;CAT III;7.5;2.7;-1;N/A;1;0;0;0
