atis_id;airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
1;KIAD;10.0;6;0;180;>6000;19;C;No Category;5.9;-1.0;99999;;1;0;0;1
1;KIAD;10.0;6;0;180;>6000;19;L;No Category;5.9;-1.0;99999;;1;0;0;1
1;KIAD;10.0;6;0;180;>6000;19;R;No Category;5.9;-1.0;99999;;1;0;0;1
2;KLAX;10.0;4;0;40;>6000;25;R;No Category;-3.5;2.0;99999;;1;1;1;1
3;KSFO;10.0;8;0;260;>6000;28;L;No Category;7.5;-2.7;99999;;1;0;0;0
4;KATL;10.0;0;0;0;>6000;27;L;No ILS;0.0;0.0;99999;;0;0;0;1
5;KORD;10.0;5;0;310;0Â;28;R;No Category;4.3;2.5;5000;;1;0;0;0
5;KORD;10.0;5;0;310;>6000;28;R;No Category;4.3;2.5;5000;;1;0;0;0
6;KSFO;10.0;5;0;260;>6000;28;L;No Category;4.7;-1.7;99999;;1;0;0;0
7;KIAD;10.0;0;0;0;>6000;19;C;No Category;-0.0;0.0;99999;;1;0;0;1
7;KIAD;10.0;0;0;0;>6000;19;L;No Category;-0.0;0.0;99999;;1;0;0;1
7;KIAD;10.0;0;0;0;>6000;19;R;No Category;-0.0;0.0;99999;;1;0;0;1
8;KATL;10.0;0;0;0;>6000;26;R;No ILS;-0.0;0.0;99999;;0;0;0;1
8;KATL;10.0;0;0;0;>6000;27;L;No ILS;0.0;0.0;99999;;0;0;0;1
8;KATL;10.0;0;0;0;>6000;28;;No ILS;0.0;0.0;99999;;0;0;0;1
9;KLAX;10.0;3;0;50;>6000;25;R;No Category;-2.8;1.0;99999;;1;1;1;1
10;KORD;10.0;4;0;210;0Â;28;R;No Category;1.4;-3.8;5000;;1;0;0;0
10;KORD;10.0;4;0;210;>6000;28;R;No Category;1.4;-3.8;5000;;1;0;0;0
11;KIAD;10.0;3;0;150;>6000;19;L;No Category;2.3;-1.9;99999;;1;0;0;1
11;KIAD;10.0;3;0;150;>6000;19;R;No Category;2.3;-1.9;99999;;1;0;0;1
12;KSFO;10.0;3;0;270;>6000;28;L;No Category;3.0;-0.5;99999;;1;0;0;0
13;KLAX;10.0;5;0;70;>6000;25;R;No Category;-5.0;0.0;99999;;1;1;1;1
14;KJFK;10.0;4;0;160;>6000;22;L;No Category;2.0;-3.5;22000;;1;0;0;0
14;KJFK;10.0;4;0;160;>6000;22;R;No Category;2.0;-3.5;22000;;1;0;0;0
15;KATL;10.0;3;0;240;>6000;26;R;No ILS;2.8;-1.0;99999;;0;0;0;1
15;KATL;10.0;3;0;240;>6000;27;L;No ILS;2.6;-1.5;99999;;0;0;0;1
15;KATL;10.0;3;0;240;>6000;28;;No ILS;2.3;-1.9;99999;;0;0;0;1
16;KORD;10.0;4;0;240;FFF;27;R;No Category;3.5;-2.0;99999;;1;0;0;0
16;KORD;10.0;4;0;240;>6000;27;C;No Category;3.5;-2.0;99999;;1;0;0;0
16;KORD;10.0;4;0;240;>6000;27;R;No Category;3.5;-2.0;99999;;1;0;0;0
16;KORD;10.0;4;0;240;>6000;28;C;No Category;3.1;-2.6;99999;;1;0;0;0
17;KJFK;10.0;7;0;190;>6000;22;L;No Category;6.1;-3.5;24000;;1;0;0;0
17;KJFK;10.0;7;0;190;>6000;22;R;No Category;6.1;-3.5;24000;;1;0;0;0
18;KATL;8.0;3;0;240;>6000;26;R;No ILS;2.8;-1.0;99999;;0;0;0;1
18;KATL;8.0;3;0;240;>6000;27;L;No ILS;2.6;-1.5;99999;;0;0;0;1
18;KATL;8.0;3;0;240;>6000;28;;No ILS;2.3;-1.9;99999;;0;0;0;1
19;KORD;10.0;4;0;250;FFF;27;R;No Category;3.8;-1.4;99999;;1;0;0;0
19;KORD;10.0;4;0;250;>6000;27;C;No Category;3.8;-1.4;99999;;1;0;0;0
19;KORD;10.0;4;0;250;>6000;27;R;No Category;3.8;-1.4;99999;;1;0;0;0
19;KORD;10.0;4;0;250;>6000;28;C;No Category;3.5;-2.0;99999;;1;0;0;0
20;KSFO;10.0;4;0;260;5500Â;28;R;No Category;3.8;-1.4;99999;;1;0;0;0
20;KSFO;10.0;4;0;260;>6000;28;R;No Category;3.8;-1.4;99999;;1;0;0;0
21;KIAD;10.0;0;0;0;>6000;19;L;No Category;-0.0;0.0;25000;;1;0;0;1
21;KIAD;10.0;0;0;0;5000â–¼;19;L;No Category;-0.0;0.0;25000;;1;0;0;1
23;KSFO;0.25;0;0;0;1200Â;28;R;No Category;0.0;0.0;200;FG;1;0;0;0
23;KSFO;0.25;0;0;0;>6000;28;R;No Category;0.0;0.0;200;FG;1;0;0;0
24;KLAX;0.25;4;0;100;1600Â;24;R;No Category;-3.1;-2.6;100;;1;1;1;1
24;KLAX;0.25;4;0;100;1400â–¼;25;L;No Category;-3.5;-2.0;100;;1;1;1;1
25;KORD;10.0;8;0;300;FFF;27;R;No Category;6.9;4.0;99999;;1;0;0;0
25;KORD;10.0;8;0;300;>6000;27;C;No Category;6.9;4.0;99999;;1;0;0;0
25;KORD;10.0;8;0;300;>6000;27;R;No Category;6.9;4.0;99999;;1;0;0;0
25;KORD;10.0;8;0;300;>6000;28;C;No Category;7.5;2.7;99999;;1;0;0;0
26;KATL;8.0;4;0;280;>6000;26;R;No ILS;3.8;1.4;99999;;0;0;0;1
26;KATL;8.0;4;0;280;>6000;27;L;No ILS;3.9;0.7;99999;;0;0;0;1
26;KATL;8.0;4;0;280;>6000;28;;No ILS;4.0;0.0;99999;;0;0;0;1
27;KJFK;10.0;8;0;220;>6000;22;L;No Category;8.0;0.0;25000;;1;0;0;0
27;KJFK;10.0;8;0;220;>6000;22;R;No Category;8.0;0.0;25000;;1;0;0;0
28;KIAD;10.0;5;0;190;>6000;19;L;No Category;5.0;0.0;9000;;1;0;0;1
28;KIAD;10.0;5;0;190;1400Â;19;L;No Category;5.0;0.0;9000;;1;0;0;1
29;KJFK;10.0;6;0;210;>6000;22;L;No Category;5.9;-1.0;25000;;1;0;0;0
29;KJFK;10.0;6;0;210;>6000;22;R;No Category;5.9;-1.0;25000;;1;0;0;0
30;KIAD;10.0;4;0;150;>6000;19;L;No Category;3.1;-2.6;25000;;1;0;0;1
30;KIAD;10.0;4;0;150;>6000;19;R;No Category;3.1;-2.6;25000;;1;0;0;1
30;KIAD;10.0;4;0;150;1600Â;19;L;No Category;3.1;-2.6;25000;;1;0;0;1
30;KIAD;10.0;4;0;150;1600Â;19;R;No Category;3.1;-2.6;25000;;1;0;0;1
31;KSFO;0.25;3;0;350;1200Â;28;R;No Category;1.0;2.8;200;FG;1;0;0;0
31;KSFO;0.25;3;0;350;>6000;28;R;No Category;1.0;2.8;200;FG;1;0;0;0
32;KLAX;0.125;4;0;70;1800â–²;24;R;No Category;-3.9;-0.7;100;;1;1;1;1
32;KLAX;0.125;4;0;70;700Â;25;L;No Category;-4.0;0.0;100;;1;1;1;1
33;KATL;10.0;9;0;310;>6000;26;R;No ILS;5.8;6.9;99999;;0;0;0;1
33;KATL;10.0;9;0;310;>6000;27;L;No ILS;6.9;5.8;99999;;0;0;0;1
33;KATL;10.0;9;0;310;>6000;28;;No ILS;7.8;4.5;99999;;0;0;0;1
34;KORD;10.0;9;0;320;FFF;27;R;No Category;5.8;6.9;99999;;1;0;0;0
34;KORD;10.0;9;0;320;>6000;27;C;No Category;5.8;6.9;99999;;1;0;0;0
34;KORD;10.0;9;0;320;>6000;27;R;No Category;5.8;6.9;99999;;1;0;0;0
34;KORD;10.0;9;0;320;>6000;28;C;No Category;6.9;5.8;99999;;1;0;0;0
35;KSFO;0.25;4;0;290;3500Â;28;R;No Category;3.9;0.7;200;FG;1;0;0;0
35;KSFO;0.25;4;0;290;>6000;28;R;No Category;3.9;0.7;200;FG;1;0;0;0
36;KATL;10.0;12;0;300;>6000;26;L;No ILS;9.2;7.7;99999;;0;0;0;1
36;KATL;10.0;12;0;300;>6000;27;L;No ILS;10.4;6.0;99999;;0;0;0;1
36;KATL;10.0;12;0;300;>6000;28;;No ILS;11.3;4.1;99999;;0;0;0;1
37;KORD;10.0;6;0;300;FFF;27;R;No Category;5.2;3.0;99999;;1;0;0;1
37;KORD;10.0;6;0;300;>6000;27;C;No Category;5.2;3.0;99999;;1;0;0;1
37;KORD;10.0;6;0;300;>6000;27;R;No Category;5.2;3.0;99999;;1;0;0;1
37;KORD;10.0;6;0;300;>6000;28;C;No Category;5.6;2.1;99999;;1;0;0;1
39;KIAD;10.0;6;0;190;>6000;19;C;No Category;6.0;0.0;12000;;1;0;0;1
39;KIAD;10.0;6;0;190;>6000;19;L;No Category;6.0;0.0;12000;;1;0;0;1
39;KIAD;10.0;6;0;190;>6000;19;R;No Category;6.0;0.0;12000;;1;0;0;1
38;KLAX;0.25;4;0;140;4500â–²;24;R;No Category;-0.7;-3.9;100;;1;1;1;1
38;KLAX;0.25;4;0;140;1200Â;25;L;No Category;-1.4;-3.8;100;;1;1;1;1
40;KJFK;10.0;5;0;190;>6000;22;L;No Category;4.3;-2.5;23000;;1;0;0;0
40;KJFK;10.0;5;0;190;>6000;22;R;No Category;4.3;-2.5;23000;;1;0;0;0
41;KLAX;3.0;0;0;0;>6000;24;R;No Category;-0.0;0.0;99999;BCFG BR;1;1;1;1
41;KLAX;3.0;0;0;0;>6000;25;L;No Category;-0.0;0.0;99999;BCFG BR;1;1;1;1
42;KIAD;10.0;6;0;200;>6000;19;C;No Category;5.9;1.0;12000;;1;0;0;1
42;KIAD;10.0;6;0;200;>6000;19;L;No Category;5.9;1.0;12000;;1;0;0;1
42;KIAD;10.0;6;0;200;>6000;19;R;No Category;5.9;1.0;12000;;1;0;0;1
43;KSFO;2.5;0;0;0;>6000;28;L;No Category;0.0;0.0;500;BR;1;0;0;0
43;KSFO;2.5;0;0;0;>6000;28;R;No Category;0.0;0.0;500;BR;1;0;0;0
44;KORD;10.0;10;0;310;FFF;27;R;No Category;7.7;6.4;99999;;1;0;0;1
44;KORD;10.0;10;0;310;>6000;27;C;No Category;7.7;6.4;99999;;1;0;0;1
44;KORD;10.0;10;0;310;>6000;27;R;No Category;7.7;6.4;99999;;1;0;0;1
44;KORD;10.0;10;0;310;>6000;28;C;No Category;8.7;5.0;99999;;1;0;0;1
45;KATL;10.0;16;23;330;>6000;26;L;No ILS;5.5;15.0;99999;;0;0;0;1
45;KATL;10.0;16;23;330;>6000;27;L;No ILS;8.0;13.9;99999;;0;0;0;1
45;KATL;10.0;16;23;330;>6000;28;;No ILS;10.3;12.3;99999;;0;0;0;1
46;KJFK;10.0;5;0;190;>6000;22;L;No Category;4.3;-2.5;22000;;1;0;0;0
46;KJFK;10.0;5;0;190;>6000;22;R;No Category;4.3;-2.5;22000;;1;0;0;0
47;KSFO;5.0;3;0;20;>6000;28;L;No Category;-0.5;3.0;99999;BR;1;0;0;0
47;KSFO;5.0;3;0;20;>6000;28;R;No Category;-0.5;3.0;99999;BR;1;0;0;0
48;KLAX;1.0;8;0;250;>6000;24;R;No Category;7.9;1.4;200;;1;1;1;1
48;KLAX;1.0;8;0;250;>6000;25;L;No Category;8.0;0.0;200;;1;1;1;1
49;KATL;10.0;12;0;300;>6000;26;R;No ILS;9.2;7.7;99999;;0;0;0;1
49;KATL;10.0;12;0;300;>6000;27;L;No ILS;10.4;6.0;99999;;0;0;0;1
49;KATL;10.0;12;0;300;>6000;28;;No ILS;11.3;4.1;99999;;0;0;0;1
50;KORD;10.0;7;0;330;FFF;27;R;No Category;3.5;6.1;99999;;1;0;0;1
50;KORD;10.0;7;0;330;>6000;27;C;No Category;3.5;6.1;99999;;1;0;0;1
50;KORD;10.0;7;0;330;>6000;27;R;No Category;3.5;6.1;99999;;1;0;0;1
50;KORD;10.0;7;0;330;>6000;28;C;No Category;4.5;5.4;99999;;1;0;0;1
51;KIAD;10.0;5;0;230;>6000;19;C;No Category;3.8;3.2;7000;;1;0;0;1
51;KIAD;10.0;5;0;230;>6000;19;L;No Category;3.8;3.2;7000;;1;0;0;1
51;KIAD;10.0;5;0;230;>6000;19;R;No Category;3.8;3.2;7000;;1;0;0;1
52;KJFK;10.0;8;0;170;>6000;22;L;No Category;5.1;-6.1;23000;;1;0;0;0
52;KJFK;10.0;8;0;170;>6000;22;R;No Category;5.1;-6.1;23000;;1;0;0;0
53;KLAX;5.0;7;0;240;>6000;24;R;No Category;7.0;0.0;99999;BR;1;1;1;1
53;KLAX;5.0;7;0;240;>6000;25;L;No Category;6.9;-1.2;99999;BR;1;1;1;1
55;KJFK;10.0;8;0;180;>6000;22;L;No Category;6.1;-5.1;23000;;1;0;0;0
55;KJFK;10.0;8;0;180;>6000;22;R;No Category;6.1;-5.1;23000;;1;0;0;0
57;KORD;10.0;6;0;270;FFF;27;R;No Category;6.0;0.0;99999;;1;0;0;1
57;KORD;10.0;6;0;270;>6000;27;C;No Category;6.0;0.0;99999;;1;0;0;1
57;KORD;10.0;6;0;270;>6000;27;R;No Category;6.0;0.0;99999;;1;0;0;1
57;KORD;10.0;6;0;270;>6000;28;C;No Category;5.9;-1.0;99999;;1;0;0;1
58;KATL;10.0;11;17;300;>6000;26;R;No ILS;8.4;7.1;99999;;0;0;0;1
58;KATL;10.0;11;17;300;>6000;27;L;No ILS;9.5;5.5;99999;;0;0;0;1
58;KATL;10.0;11;17;300;>6000;28;;No ILS;10.3;3.8;99999;;0;0;0;1
59;KJFK;10.0;4;0;200;>6000;22;L;No Category;3.8;-1.4;23000;;1;0;0;0
59;KJFK;10.0;4;0;200;>6000;22;R;No Category;3.8;-1.4;23000;;1;0;0;0
