airport_icao;visibility;wind_speed;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KIAD;10.0;6;180;>6000 ;19;L;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KIAD;10.0;6;180;>6000 ;19;C;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KIAD;10.0;6;180;>6000 ;19;R;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KLAX;10.0;4;40;>6000 ;6;R;No ILS;3.8;1.4;-1.0;None;0;1;1;0
KSFO;10.0;8;260;>6000 ;28;L;CAT III;7.5;2.7;-1.0;None;1;0;0;0
KATL;10.0;0;0;>6000 ;27;L;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KORD;10.0;5;310;>6000 ;28;R;CAT III;4.3;2.5;5000.0;None;1;0;0;0
KSFO;10.0;5;260;>6000 ;28;L;CAT III;4.7;1.7;-1.0;None;1;0;0;0
KSFO;10.0;5;260;>6000 ;28;L;CAT III;4.7;1.7;-1.0;None;1;0;0;0
KATL;10.0;0;0;>6000 ;26;R;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;0;0;>6000 ;27;L;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;0;0;>6000 ;28;X;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KLAX;10.0;3;50;>6000 ;6;R;No ILS;3.0;0.5;-1.0;None;0;1;1;0
KORD;10.0;4;210;>6000 ;28;R;CAT III;1.4;3.8;5000.0;None;1;0;0;0
KIAD;10.0;3;150;>6000 ;19;L;CAT III;2.3;1.9;-1.0;None;1;0;0;1
KIAD;10.0;3;150;>6000 ;19;R;CAT III;2.3;1.9;-1.0;None;1;0;0;1
KSFO;10.0;3;270;>6000 ;28;L;CAT III;3.0;0.5;-1.0;None;1;0;0;0
KLAX;10.0;5;70;>6000 ;6;R;No ILS;4.9;0.9;-1.0;None;0;1;1;0
KJFK;10.0;4;160;>6000 ;22;L;CAT III;2.0;3.5;22000.0;None;1;0;0;0
KJFK;10.0;4;160;>6000 ;22;R;CAT III;2.0;3.5;22000.0;None;1;0;0;0
KATL;10.0;3;240;>6000 ;26;R;No ILS;2.8;1.0;-1.0;None;0;0;0;1
KATL;10.0;3;240;>6000 ;27;L;No ILS;2.6;1.5;-1.0;None;0;0;0;1
KATL;10.0;3;240;>6000 ;28;X;No ILS;2.3;1.9;-1.0;None;0;0;0;1
KORD;10.0;4;240;>6000 ;27;C;CAT III;3.5;2.0;-1.0;None;1;0;0;0
KORD;10.0;4;240;>6000 ;27;R;CAT III;3.5;2.0;-1.0;None;1;0;0;0
KORD;10.0;4;240;>6000 ;28;C;CAT III;3.1;2.6;-1.0;None;1;0;0;0
KJFK;10.0;7;190;>6000 ;22;L;CAT III;6.1;3.5;24000.0;None;1;0;0;0
KJFK;10.0;7;190;>6000 ;22;R;CAT III;6.1;3.5;24000.0;None;1;0;0;0
KATL;8.0;3;240;>6000 ;26;R;No ILS;2.8;1.0;-1.0;None;0;0;0;1
KATL;8.0;3;240;>6000 ;27;L;No ILS;2.6;1.5;-1.0;None;0;0;0;1
