atis_id;airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;rvr_tendency;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
1;KIAD;10.0;6;0;180;6000.0;>;19;L;CAT III;5.9;1.0;-1.0;None;1;0;0;1
1;KIAD;10.0;6;0;180;6000.0;>;19;C;CAT III;5.9;1.0;-1.0;None;1;0;0;1
1;KIAD;10.0;6;0;180;6000.0;>;19;R;CAT III;5.9;1.0;-1.0;None;1;0;0;1
2;KLAX;10.0;4;0;40;6000.0;>;6;R;No ILS;3.8;1.4;-1.0;None;0;1;1;0
3;KSFO;10.0;8;0;260;6000.0;>;28;L;CAT III;7.5;2.7;-1.0;None;1;0;0;0
4;KATL;10.0;0;0;0;6000.0;>;27;L;No ILS;0.0;0.0;-1.0;None;0;0;0;1
5;KORD;10.0;5;0;310;6000.0;>;28;R;CAT III;4.3;2.5;5000.0;None;1;0;0;0
6;KSFO;10.0;5;0;260;6000.0;>;28;L;CAT III;4.7;1.7;-1.0;None;1;0;0;0
6;KSFO;10.0;5;0;260;6000.0;>;28;L;CAT III;4.7;1.7;-1.0;None;1;0;0;0
8;KATL;10.0;0;0;0;6000.0;>;26;R;No ILS;0.0;0.0;-1.0;None;0;0;0;1
8;KATL;10.0;0;0;0;6000.0;>;27;L;No ILS;0.0;0.0;-1.0;None;0;0;0;1
8;KATL;10.0;0;0;0;6000.0;>;28;X;No ILS;0.0;0.0;-1.0;None;0;0;0;1
9;KLAX;10.0;3;0;50;6000.0;>;6;R;No ILS;3.0;0.5;-1.0;None;0;1;1;0
10;KORD;10.0;4;0;210;6000.0;>;28;R;CAT III;1.4;3.8;5000.0;None;1;0;0;0
11;KIAD;10.0;3;0;150;6000.0;>;19;L;CAT III;2.3;1.9;-1.0;None;1;0;0;1
11;KIAD;10.0;3;0;150;6000.0;>;19;R;CAT III;2.3;1.9;-1.0;None;1;0;0;1
12;KSFO;10.0;3;0;270;6000.0;>;28;L;CAT III;3.0;0.5;-1.0;None;1;0;0;0
13;KLAX;10.0;5;0;70;6000.0;>;6;R;No ILS;4.9;0.9;-1.0;None;0;1;1;0
14;KJFK;10.0;4;0;160;6000.0;>;22;L;CAT III;2.0;3.5;22000.0;None;1;0;0;0
14;KJFK;10.0;4;0;160;6000.0;>;22;R;CAT III;2.0;3.5;22000.0;None;1;0;0;0
15;KATL;10.0;3;0;240;6000.0;>;26;R;No ILS;2.8;1.0;-1.0;None;0;0;0;1
15;KATL;10.0;3;0;240;6000.0;>;27;L;No ILS;2.6;1.5;-1.0;None;0;0;0;1
15;KATL;10.0;3;0;240;6000.0;>;28;X;No ILS;2.3;1.9;-1.0;None;0;0;0;1
16;KORD;10.0;4;0;240;6000.0;>;27;C;CAT III;3.5;2.0;-1.0;None;1;0;0;0
16;KORD;10.0;4;0;240;6000.0;>;27;R;CAT III;3.5;2.0;-1.0;None;1;0;0;0
16;KORD;10.0;4;0;240;6000.0;>;28;C;CAT III;3.1;2.6;-1.0;None;1;0;0;0
17;KJFK;10.0;7;0;190;6000.0;>;22;L;CAT III;6.1;3.5;24000.0;None;1;0;0;0
17;KJFK;10.0;7;0;190;6000.0;>;22;R;CAT III;6.1;3.5;24000.0;None;1;0;0;0
18;KATL;8.0;3;0;240;6000.0;>;26;R;No ILS;2.8;1.0;-1.0;None;0;0;0;1
18;KATL;8.0;3;0;240;6000.0;>;27;L;No ILS;2.6;1.5;-1.0;None;0;0;0;1
18;KATL;8.0;3;0;240;6000.0;>;28;X;No ILS;2.3;1.9;-1.0;None;0;0;0;1
19;KORD;10.0;4;0;250;6000.0;>;27;C;CAT III;3.8;1.4;-1.0;None;1;0;0;0
19;KORD;10.0;4;0;250;6000.0;>;27;R;CAT III;3.8;1.4;-1.0;None;1;0;0;0
19;KORD;10.0;4;0;250;6000.0;>;28;C;CAT III;3.5;2.0;-1.0;None;1;0;0;0
20;KSFO;10.0;4;0;260;5500.0;;28;R;CAT III;3.8;1.4;-1.0;None;1;0;0;0
21;KIAD;10.0;0;0;0;6000.0;>;19;L;CAT III;0.0;0.0;25000.0;None;1;0;0;1
23;KSFO;1.0;0;0;0;1200.0;;28;R;CAT III;0.0;0.0;200.0;FG;1;0;0;0
